"";"participant";"City";"dem_gender";"dem_age";"dem_postcode";"dem_education";"dem_marital";"dem_transport_car";"dem_transport_public";"dem_transport_bicycle";"dem_transport_walk";"profile_cycling_1";"profile_cycling_2";"profile_cycling_3";"profile_cycling_4";"profile_cycling_5";"profile_cycling_6";"profile_cycling_7";"profile_cycling_8";"profile_cycling_9";"profile_cycling_10";"profile_cycling_11";"profile_cycling_12";"profile_cycling_13";"profile_cycling_14";"profile_cycling_15";"gaming_mobile_time";"gaming_money_apps";"gaming_apps_basic";"gaming_apps_messaging";"gaming_apps_lifestyle";"gaming_apps_games";"gaming_apps_productivity";"gaming_apps_news";"gaming_play_time";"gaming_money_games";"gaming_games_simulation";"gaming_games_puzzle";"gaming_games_action";"gaming_games_shooter";"gaming_games_combat";"gaming_games_firstperson";"gaming_games_sports";"gaming_games_role";"gaming_games_educational";"gaming_games_none";"gaming_games_other";"gaming_app_cycling";"gaming_app_cycling_googlefit";"gaming_app_cycling_endomondo";"gaming_app_cycling_bikecitizens";"gaming_app_cycling_fitbit";"gaming_app_cycling_strava";"gaming_app_cycling_runtastic";"gaming_app_cycling_human";"gaming_app_cycling_wikiloc";"gaming_app_cycling_none";"gaming_app_cycling_other";"gaming_app_social_foursquare";"gaming_app_social_tripadvisor";"gaming_app_social_findfriends";"gaming_app_social_tinder";"gaming_app_social_swarm";"gaming_app_social_snapchat";"gaming_app_social_waze";"gaming_app_social_none";"gaming_app_social_other";"gaming_wearable_fitnessband";"gaming_wearable_vr";"gaming_wearable_glasses";"gaming_wearable_watch";"gaming_wearable_headphone";"gaming_wearable_none";"gaming_wearable_other";"engagement_A1";"engagement_A2";"engagement_A3";"engagement_B1";"engagement_B2";"engagement_B3";"engagement_cycling_2w";"engagement_cycling_future";"engagement_app_2w";"engagement_app_future";"engagement_any_app_2w";"engagement_any_app_future";"satisfaction_cycling";"competition_1";"competition_2";"competition_3";"collaboration_1";"collaboration_2";"collaboration_3";"satisfaction_app_1";"satisfaction_app_2";"satisfaction_1";"satisfaction_2";"comments";"feedback_1";"feedback_2";"feedback_3";"feedback_4";"feedback_5";"feedback_6";"feedback_7";"feedback_8";"feedback_9";"group";"questionnaire1";"application_install";"questionnaire_2";"estimuli";"device";"city"
"27";27;"Castelló";1;45;"12003";3;4;1;NA;1;1;3;1;0;0;3;3;3;-2;-3;-2;3;3;-2;2;2;3;1;NA;1;NA;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-2;3;-3;-3;3;3;3;3;3;3;3;-3;-3;-3;NA;NA;NA;1;1;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-19T09:35:00.000Z";"2017-10-19T09:40:00.000Z";"2017-10-26T09:05:00.000Z";"Y";"6fe948e0c51ae2e3";"Castelló"
"28";28;"Castelló";1;43;"12005";4;1;1;NA;1;NA;3;1;0;3;3;3;-1;3;3;0;3;3;0;-3;2;2;1;1;NA;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Maps.me / Waze";NA;NA;NA;NA;NA;NA;NA;NA;"Whatsapp / KIK";NA;NA;NA;NA;NA;1;"";3;-2;2;2;-3;0;3;3;3;3;3;3;3;NA;NA;NA;3;0;-2;-2;2;3;1;"Me suelo olvidar de encender la aplicación antes de comenzar cada viaje (Debería tener la posibilidad de interactuar o enviar mensajes con los ciclistas de la ciudad)";1;NA;NA;NA;NA;NA;1;NA;NA;"Collaboration";"2017-10-19T12:00:00.000Z";"2017-10-19T12:15:00.000Z";"2017-10-27T12:20:00.000Z";"Y";"948c5a19e0e77b8f";"Castelló"
"29";29;"Castelló";1;46;"12004";3;4;NA;NA;1;NA;3;3;-1;2;3;3;3;1;3;-1;-1;3;-2;-3;-2;2;1;NA;1;NA;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-2;-1;1;-3;-1;3;3;0;2;2;2;2;NA;NA;NA;2;3;3;2;2;2;2;"Olvidé 2 viajes de ida/vuelta a Benicassim que no quedaron registrados. Una ventaja sería tener la app en el reloj";1;NA;NA;NA;NA;NA;1;NA;NA;"Collaboration";"2017-10-19T14:00:00.000Z";"2017-10-19T14:36:00.000Z";"2017-10-26T14:20:00.000Z";"Y";"6f7c7445c866c14a";"Castelló"
"30";30;"Castelló";2;31;"12005";4;4;NA;NA;NA;1;3;3;2;2;3;3;3;2;2;-1;0;3;1;0;1;1;1;1;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;-3;-3;3;-3;-3;3;3;0;-1;-3;-3;3;-1;0;-1;NA;NA;NA;2;3;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-19T17:27:00.000Z";"2017-10-19T17:45:00.000Z";"2017-11-06T14:20:00.000Z";"Y";"c1c0f391b310b51d";"Castelló"
"31";31;"Castelló";1;20;"12539";2;1;NA;1;1;NA;3;2;2;1;3;3;1;-2;1;-2;0;3;-3;-1;0;4;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;0;0;3;2;2;3;3;3;3;1;1;3;0;0;0;NA;NA;NA;3;3;1;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-20T17:20:00.000Z";"2017-10-20T17:29:00.000Z";"2017-10-27T15:00:00.000Z";"Y";"ec76a95722e80e30";"Castelló"
"32";32;"Castelló";2;33;"12100";4;3;1;1;1;NA;3;3;1;3;2;3;3;2;3;0;0;3;-2;-3;0;4;1;NA;1;1;NA;1;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;"";"Y";NA;NA;NA;NA;NA;1;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-1;3;3;2;-1;3;3;3;3;0;2;3;NA;NA;NA;3;3;3;2;3;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-10-20T17:20:00.000Z";"2017-10-20T17:30:00.000Z";"2017-10-27T15:10:00.000Z";"Y";"1c64e79ce9eea54d";"Castelló"
"33";33;"Castelló";1;35;"12004";4;3;NA;1;1;1;3;3;1;NA;2;3;3;1;3;-3;2;3;1;-1;0;5;3;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;1;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;1;NA;NA;"";2;-3;3;3;-3;-2;3;2;2;-3;-1;3;3;NA;NA;NA;3;3;0;3;3;3;3;"Algunas veces he olvidado conectar la aplicación, creo que una mejora sería que la aplicación se iniciara automáticamente, quizas usando alguna aplicación de actividad de Google Fit";1;1;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-10-23T16:50:00.000Z";"2017-10-23T16:55:00.000Z";"2017-11-06T13:40:00.000Z";"Y";"5d9df6772562af5e";"Castelló"
"34";34;"Castelló";1;32;"12006";3;1;NA;NA;1;NA;2;1;2;-2;3;3;3;2;3;-1;2;3;-3;0;1;3;1;1;1;1;1;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;1;1;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;1;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";2;-2;2;3;-2;1;3;3;3;3;3;3;2;-3;2;2;NA;NA;NA;2;3;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-25T15:05:00.000Z";"2017-10-25T15:12:00.000Z";"2017-11-20T14:40:00.000Z";"Y";"b265733ea53b6e07";"Castelló"
"35";35;"Castelló";2;38;"12004";4;1;NA;NA;1;1;3;3;2;2;3;3;3;0;-3;1;3;3;-2;2;2;5;1;NA;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;-2;1;3;-2;1;3;3;3;0;3;0;3;NA;NA;NA;3;3;3;1;2;3;3;"Creo que la aplicación es pesada para mi movil ya que lo ralentiza. El GPS no se activa de manera automática al abrir la aplicación, debia hacerlo manualmente. Las palabras claves, en mi caso, al hacer una ruta habitual no me aportaba mucho para describir el recorrido. Que se active automáticamente la app no lo considero muy funcional.";NA;NA;NA;1;NA;1;NA;NA;1;"Collaboration";"2017-10-26T15:30:00.000Z";"2017-10-26T15:50:00.000Z";"2017-11-07T15:35:00.000Z";"Y";"9a83167b352fa914";"Castelló"
"36";36;"Castelló";2;33;"12003";4;1;NA;1;1;1;2;2;-1;2;3;3;2;-2;1;-1;2;2;-2;-1;-2;4;1;1;1;1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"Instagram, Google Local Guide";NA;NA;NA;NA;NA;1;"";3;-3;0;2;-3;1;3;3;2;2;2;2;3;-2;2;2;NA;NA;NA;0;1;3;2;"Que el comienzo de la actividad no sea automatico cuando abro la app. Error en una de las etiquetas del segundo listado";NA;NA;NA;NA;1;1;NA;NA;NA;"Competition";"2017-10-26T15:55:00.000Z";"2017-10-26T16:10:00.000Z";"2017-11-07T15:50:00.000Z";"Y";"f3d5cdaad6acb5dc";"Castelló"
"37";37;"Castelló";1;43;"12100";2;4;1;NA;1;NA;3;3;3;3;-3;3;3;0;3;0;0;3;0;0;0;5;2;NA;1;1;1;1;NA;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"Salud Huawei";NA;NA;NA;NA;NA;NA;NA;NA;"Whatsapp";NA;NA;NA;NA;NA;1;"";3;-3;3;3;0;3;3;3;3;0;3;1;2;NA;NA;NA;3;0;NA;2;3;3;3;"Poner mapa para ver recorridos de la gente";NA;NA;NA;NA;NA;NA;1;NA;NA;"Collaboration";"2017-10-26T17:10:00.000Z";"2017-10-26T17:20:00.000Z";"2017-11-06T13:40:00.000Z";"Y";"75df4d7f5d07f886";"Castelló"
"38";38;"Castelló";1;44;"12100";2;2;NA;NA;1;1;3;3;3;3;3;3;3;1;3;0;3;3;0;-3;-3;4;1;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Whatsapp";NA;NA;NA;NA;NA;1;"";3;-3;-2;2;-3;-3;3;3;3;0;-2;-2;3;0;-2;-2;NA;NA;NA;-2;3;3;1;"L'aplicació no marcava la distancia ni la velocitat, de reste bé";NA;NA;NA;1;NA;NA;NA;NA;NA;"Competition";"2017-10-27T20:15:00.000Z";"2017-10-27T20:20:00.000Z";"2017-11-06T20:40:00.000Z";"Y";"f0304bf6db9bacfb";"Castelló"
"39";39;"Castelló";2;45;"12002";2;2;1;1;1;1;3;3;3;3;3;3;3;2;3;-2;1;3;0;1;2;4;1;1;1;NA;1;1;NA;1;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook";NA;NA;NA;NA;NA;1;"";2;-1;-1;1;0;-2;3;3;3;3;2;2;3;NA;NA;NA;3;3;2;1;2;3;1;"L'aplicació no va funcionar del tot bé, no marcaba els kilómetres";NA;NA;NA;1;NA;NA;NA;NA;NA;"Collaboration";"2017-10-27T20:30:00.000Z";"2017-10-27T20:40:00.000Z";"2017-11-06T20:40:00.000Z";"Y";"c7aeb36dcbf38252";"Castelló"
"40";40;"Castelló";1;40;"12594";2;1;NA;NA;1;NA;3;3;0;2;0;2;1;0;2;0;2;2;0;2;-3;2;1;1;1;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;NA;NA;NA;1;NA;"Sportstracker";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;1;NA;NA;"";2;-2;2;2;-1;2;3;2;2;0;2;0;3;0;1;0;NA;NA;NA;1;0;2;0;"La aplicación debería tener la opción de iniciar manualmente la grabación, ";NA;1;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-10-29T13:30:00.000Z";"2017-10-29T13:30:00.000Z";"2017-11-21T20:40:00.000Z";"Y";"b9fb432cd25e49d5";"Castelló"
"41";41;"Malta";1;29;"SGN4412";4;3;NA;1;1;1;1;2;-2;2;3;3;3;2;2;-2;0;3;-3;-2;1;3;1;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";1;2;2;2;1;1;3;2;1;1;1;1;2;-2;1;1;NA;NA;NA;1;3;2;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Competition";"2017-11-09T12:15:00.000Z";"2017-11-09T12:30:00.000Z";"2017-11-16T15:15:00.000Z";"Y";"ff64f36fe20f131";"Malta"
"42";42;"Malta";1;21;"SLM1109";3;1;NA;1;1;1;2;3;1;2;3;3;3;-1;3;-2;1;3;-2;1;1;5;1;1;1;NA;NA;1;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";3;2;2;2;1;1;3;3;2;2;2;3;3;NA;NA;NA;2;3;2;1;0;2;0;"Maybe an option to start the count when you wish rather than when opening the app as it is difficult to customize profiles when the time already started. Also maybe better and easier categorization of the tags";NA;NA;NA;NA;1;1;1;NA;NA;"Collaboration";"2017-11-09T12:15:00.000Z";"2017-11-09T12:35:00.000Z";"2017-11-16T13:10:00.000Z";"Y";"c04a9ce450d85367";"Malta"
"43";43;"Malta";1;25;"FGR1404";4;2;NA;NA;1;NA;3;3;0;1;2;3;3;0;2;-2;-2;3;-3;-2;1;3;1;1;1;1;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";1;NA;NA;NA;NA;NA;"Suunto GPS Sports Watch";3;1;1;3;-2;-2;3;3;-3;-1;-1;-1;3;1;1;1;NA;NA;NA;0;1;3;1;"App still needs some minor fine-tuning if it is to compete with already stabished apps (Strava, Garming Connect, Movescount, Etc.) Having said that, I see the value of using the app as a motivational tool, especially for beginners. I would not use an app since I am not interested in tracking my daily commute whcich I have been doing for years :) keep it up!!";NA;NA;NA;NA;NA;NA;1;1;NA;"Competition";"2017-11-09T12:20:00.000Z";"2017-11-09T12:35:00.000Z";"";"Y";"2dd51dad67db44fe";"Malta"
"44";44;"Malta";2;NA;"";4;4;1;1;1;1;2;3;2;1;3;3;3;1;3;-1;1;3;-1;-3;2;5;1;1;1;1;NA;NA;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"Facebook, Twitter";NA;NA;NA;NA;NA;1;"";3;-3;-1;3;-2;-1;3;3;-1;-1;1;1;2;-2;-1;-3;NA;NA;NA;-1;-2;3;-2;"Open and close button before start and pause. Option on feedback in next/ closest as speed/days. emotion weather, effort. scale 1-5. history with deletable entries.";NA;NA;NA;NA;1;NA;1;NA;NA;"Competition";"2017-11-09T12:15:00.000Z";"";"";"Y";"";"Malta"
"45";45;"Malta";1;23;"NXR3335";3;2;1;1;1;1;3;3;2;2;3;1;3;0;3;2;2;3;-1;-1;1;3;2;1;1;1;NA;1;NA;1;1;NA;1;NA;NA;NA;1;NA;NA;NA;NA;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook ";NA;NA;NA;NA;NA;1;"";3;1;1;2;1;1;3;3;-1;-3;-1;0;3;NA;NA;NA;3;3;1;1;1;2;0;"None, thanks for everything. Please donate the 10€ to charity :)";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-11-09T18:06:00.000Z";"2017-11-09T18:06:00.000Z";"";"Y";"b815df034e2f361c";"Malta"
"46";46;"Malta";1;21;"STJ1581";3;1;NA;1;1;1;2;3;2;2;3;3;3;1;0;0;0;-1;-2;1;2;5;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;1;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";2;-1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"none";"2017-11-09T18:15:00.000Z";"2017-11-09T18:23:00.000Z";"";"Y";"ea930b0c9eb0edc0";"Malta"
"47";47;"Malta";2;27;"SFI1432";3;1;1;1;1;NA;3;3;2;3;0;3;3;0;3;-3;1;3;-3;-3;0;3;1;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook, Instagram";NA;NA;NA;1;NA;NA;"";3;-3;3;3;-3;3;3;3;3;0;2;2;3;NA;NA;NA;3;3;3;0;3;2;2;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-11-09T18:15:00.000Z";"2017-11-09T12:15:00.000Z";"2017-11-25T17:00:00.000Z";"Y";"526fd636a4b5e87b";"Malta"
"48";48;"Malta";1;25;"SLM2010";4;1;1;1;1;1;3;2;2;2;3;3;2;2;2;-2;2;2;-2;-2;2;3;1;1;1;1;NA;1;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Instagram";NA;NA;NA;NA;NA;1;"";3;-3;-1;3;-1;0;3;3;1;1;1;1;3;-2;1;-3;NA;NA;NA;-3;0;2;-1;"I was very interested in the functionality of the application, and the remit as to why the data was being collected. In using the app I had issues with the ability of the phone in determining my location and recording any data, which led to me having a generally poor experience with the app. I would particulary be interested in using the app in the future, especially when combined with more active data collection abilities.";NA;NA;NA;1;NA;NA;NA;NA;1;"Competition";"2017-11-09T18:08:00.000Z";"2017-11-09T18:30:00.000Z";"2017-11-21T14:00:00.000Z";"Y";"89549cb520eb71df";"Malta"
"49";49;"Malta";2;47;"NXR2066";2;4;1;1;1;1;3;3;0;3;3;3;3;1;3;-3;-2;-3;1;3;-1;3;2;1;NA;NA;1;NA;1;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;"";"Y";NA;1;NA;NA;NA;NA;NA;NA;NA;"";NA;1;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;1;"";1;-3;-2;3;0;1;3;3;2;2;1;2;3;NA;NA;NA;3;2;-3;0;3;-3;-3;"There sould be some allowances for people using bicycles and motorcycles for commuting in Malta, they are saving space and reducing congestion";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-11-09T18:20:00.000Z";"2017-11-09T18:20:00.000Z";"2017-11-16T18:20:00.000Z";"Y";"be492f9e5222543e";"Malta"
"50";50;"Malta";1;58;"STJ1121";3;4;1;NA;1;1;3;3;3;3;0;3;3;2;3;-3;3;3;0;3;3;5;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"Vjagg";NA;1;NA;NA;NA;NA;NA;NA;"Facebook, Twitter";NA;NA;NA;NA;NA;1;"";3;-2;0;3;-2;1;3;3;3;1;3;3;3;1;0;1;NA;NA;NA;1;2;2;3;"I like the idea of a normally clothed avatar, some of the tag lines were duplicated. I'd like to rate comfort, efficienty, safety (possibly type levels of infra). Could the app pin when you pass other players, even if its after you stop. could be part of the game. a social part of the game. could you get points for errands or climbing hills for instance?";NA;NA;NA;NA;NA;1;1;1;NA;"Competition";"2017-11-09T18:30:00.000Z";"2017-11-09T18:35:00.000Z";"2017-11-15T17:28:00.000Z";"N";"1fce815e794a07c8";"Malta"
"51";51;"Malta";2;28;"HAMRUN";4;1;NA;1;1;1;3;3;3;3;3;3;3;0;3;-3;0;3;-3;-2;-3;3;1;1;1;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"N";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;-1;2;-3;-3;3;3;-1;-1;-1;0;3;NA;NA;NA;3;3;3;3;3;3;3;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-11-09T19:00:00.000Z";"2017-11-09T19:10:00.000Z";"";"Y";"3d52ad6645625475";"Malta"
"52";52;"Malta";2;41;"ZB3465";4;4;1;NA;1;NA;3;3;2;2;3;3;3;2;2;0;0;3;0;-1;0;5;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Whatsapp";NA;NA;NA;NA;NA;1;"";2;-3;2;3;-3;3;3;3;0;2;3;3;3;NA;NA;NA;3;3;3;0;0;3;3;"I think the app needs to be improved as it was not easy to stop it. and start another trip. sometimes it kept working";NA;NA;NA;1;NA;NA;NA;NA;NA;"Collaboration";"2017-11-10T14:00:00.000Z";"2017-11-10T14:25:00.000Z";"2017-11-17T12:25:00.000Z";"Y";"77d5ef0502ed6625";"Malta"
"53";53;"Malta";1;43;"SGN1424";2;1;1;NA;1;NA;3;3;1;2;3;3;3;0;-3;-3;3;3;-3;0;3;2;1;1;1;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;1;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;3;3;-2;3;3;3;3;3;3;3;2;0;3;1;NA;NA;NA;3;3;3;3;"I will continue using the app so that I can help with the future of cycling in malta. Cycling in malta is increasing but the government is not doing enough to help because we do not have any cycling infrastructure, I enjoy seeing other cyclists on the road and it is nice to meet others and go for a bicycle ride together. We need to have bicycle lanes so that more people will start cycling. If there is a way for cyclists to meet by using the app to indicate their time and route so would be nice.";NA;NA;NA;NA;NA;NA;NA;1;NA;"Competition";"2017-11-10T14:45:00.000Z";"2017-11-10T14:50:00.000Z";"2017-11-15T18:15:00.000Z";"Y";"5d6f5f62dda6cfde";"Malta"
"54";54;"Malta";2;28;"San Paul";3;2;NA;1;1;1;3;3;3;3;3;3;3;0;3;-3;3;3;-3;0;1;4;1;1;1;1;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;"";"Y";NA;NA;NA;NA;1;1;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"Facebook";NA;NA;NA;NA;NA;1;"";3;-3;3;3;-3;2;3;3;0;2;2;3;3;NA;NA;NA;3;3;1;0;0;3;1;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Collaboration";"2017-11-10T15:15:00.000Z";"2017-11-10T15:20:00.000Z";"2017-11-15T14:40:00.000Z";"Y";"f10bdbbea0e46dd0";"Malta"
"55";55;"Malta";1;20;"SFI1422";3;1;NA;NA;1;NA;3;3;3;3;3;3;3;-1;2;-2;0;3;-3;0;0;4;1;NA;1;NA;NA;NA;NA;1;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;0;2;2;0;3;3;3;3;3;3;3;3;2;2;0;NA;NA;NA;1;2;3;3;"Having a map where you could see the journey you've tracked would be better";NA;NA;NA;NA;NA;NA;1;NA;NA;"Competition";"2017-15-10T13:20:00.000Z";"2017-15-10T13:22:00.000Z";"";"Y";"fd1f1dc85e0d1b8b";"Malta"
"56";56;"Malta";1;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"none";"2017-15-17T15:20:00.000Z";"2017-15-17T15:20:00.000Z";"";"Y";"f10bdbbea0e46dd0";"Malta"
"57";57;"Malta";2;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;NA;NA;"none";"2017-17-10T10:00:00.000Z";"2017-17-10T10:00:00.000Z";"";"Y";"77d5ef0502ed6625";"Malta"
"58";58;"Malta";1;35;"NXR4017";3;3;NA;NA;1;NA;2;2;1;2;1;3;2;2;3;-2;-2;3;-3;-2;2;3;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;"";"Y";NA;NA;NA;NA;1;NA;NA;NA;NA;"";NA;NA;NA;NA;NA;NA;NA;1;"";NA;NA;NA;NA;NA;1;"";3;-3;3;3;-2;3;3;3;-3;-3;3;3;3;NA;NA;NA;1;-2;-3;-3;-1;2;-2;"In general I found that the app didn't give me enough feedback (especially, there was no ""Stop"" command to finish a ride). Also I wasn't sure why I'd wanted to use the app - I just thouthgt I was contributing to an experiment, and as such I didn't expect the app to be useful or benefit me personally.";NA;NA;NA;NA;NA;NA;NA;NA;1;"Collaboration";"2017-17-10T17:30:00.000Z";"2017-17-10T17:35:00.000Z";"";"Y";"37132b759d08a2c5";"Malta"
