"_created_at"	_id	_updated_at	device	tag_count	text	trip_count
2017-10-24T13:07:56.345Z	LvsB9UDC9E	2017-10-24T13:07:56.345Z	11adcf0f63a00175	5	Seguro	11
2017-10-24T13:07:56.504Z	xEMGCvKYx1	2017-10-24T13:07:56.504Z	11adcf0f63a00175	6	Veloz	11
2017-10-25T07:21:22.643Z	rzwWAiQQo8	2017-10-25T07:21:22.643Z	1c64e79ce9eea54d	6	Moderado	7
2017-10-25T10:27:50.787Z	4a44yLxuxJ	2017-10-25T10:27:50.787Z	1c64e79ce9eea54d	7	Veloz	8
2017-10-25T11:26:48.228Z	X9JZTKbvup	2017-10-25T11:26:48.228Z	1c64e79ce9eea54d	8	Concurrido	9
2017-10-25T11:26:48.386Z	1skgDdCOCM	2017-10-25T11:26:48.386Z	1c64e79ce9eea54d	9	Moderado	9
2017-10-25T13:13:16.330Z	Ofsgkp5ER5	2017-10-25T13:13:16.330Z	c1c0f391b310b51d	1	Ágil	7
2017-10-25T13:13:16.529Z	dmTb2XS0S9	2017-10-25T13:13:16.529Z	c1c0f391b310b51d	2	Adecuado	7
2017-10-25T13:13:16.710Z	WvGRwAVenb	2017-10-25T13:13:16.710Z	c1c0f391b310b51d	3	Moderado	7
2017-10-25T13:26:02.346Z	ncEDVAu31M	2017-10-25T13:26:02.346Z	11adcf0f63a00175	7	Seguro	12
2017-10-25T13:26:03.275Z	9ZMPDooch6	2017-10-25T13:26:03.275Z	11adcf0f63a00175	8	Veloz	12
2017-10-25T15:55:40.047Z	SZyUBB3gfh	2017-10-25T15:55:40.047Z	14a96735022e788e	8	Prolongado	6
2017-10-25T15:55:40.255Z	jW0u4VXjmc	2017-10-25T15:55:40.255Z	14a96735022e788e	9	Adecuado	6
2017-10-25T15:55:40.397Z	7LK0WZ4CKq	2017-10-25T15:55:40.397Z	14a96735022e788e	10	Inspirador	6
2017-10-25T15:59:35.172Z	qPVOvntE8B	2017-10-25T15:59:35.172Z	43719b7c983f3578	22	Speedy	8
2017-10-25T15:59:35.354Z	qoJm0pVJpT	2017-10-25T15:59:35.354Z	43719b7c983f3578	23	Light	8
2017-10-25T15:59:35.532Z	wuIxq4rSMk	2017-10-25T15:59:35.532Z	43719b7c983f3578	24	Fast	8
2017-10-25T16:50:14.922Z	24UFEBKCIE	2017-10-25T16:50:14.922Z	ec76a95722e80e30	7	Promedio	5
2017-10-25T16:50:15.212Z	PGrHzsAYFM	2017-10-25T16:50:15.212Z	ec76a95722e80e30	8	Retardat	5
2017-10-25T16:50:15.553Z	hd7hIOlMui	2017-10-25T16:50:15.553Z	ec76a95722e80e30	9	Veloç	5
2017-10-25T17:10:14.070Z	yi7YYm6G4H	2017-10-25T17:10:14.070Z	c1c0f391b310b51d	4	Ágil	8
2017-10-25T17:10:14.319Z	uWPBnqQPXZ	2017-10-25T17:10:14.319Z	c1c0f391b310b51d	5	Adecuado	8
2017-10-25T17:10:14.605Z	g7EquCAcFN	2017-10-25T17:10:14.605Z	c1c0f391b310b51d	6	Moderado	8
2017-10-26T05:36:32.674Z	nzqevKq7ns	2017-10-26T05:36:32.674Z	11adcf0f63a00175	9	Seguro	13
2017-10-26T05:36:32.795Z	bkAkv8OTXA	2017-10-26T05:36:32.795Z	11adcf0f63a00175	10	Veloz	13
2017-10-26T06:52:59.683Z	V67ik9Kmma	2017-10-26T06:52:59.683Z	e9d8d40f54eb35e6	7	Veloz	18
2017-10-26T08:37:27.163Z	Dtww6mmheY	2017-10-26T08:37:27.163Z	11adcf0f63a00175	11	Concurrido	14
2017-10-26T08:37:27.291Z	FqeGEDx6WE	2017-10-26T08:37:27.291Z	11adcf0f63a00175	12	Veloz	14
2017-10-26T08:39:05.834Z	SG4NWW2wA7	2017-10-26T08:39:05.834Z	756256df825745c	4	Suficiente	10
2017-10-26T08:39:06.074Z	bVwwRYFDhp	2017-10-26T08:39:06.074Z	756256df825745c	5	Normal	10
2017-10-26T08:39:06.294Z	YKuauY8lnc	2017-10-26T08:39:06.294Z	756256df825745c	6	Lento	10
2017-10-26T08:40:01.370Z	y4RnC8RMYG	2017-10-26T08:40:01.370Z	14a96735022e788e	8	Moderado	7
2017-10-26T08:53:31.127Z	TLpKu2MVHn	2017-10-26T08:53:31.127Z	43719b7c983f3578	25	Speedy	9
2017-10-26T08:53:42.526Z	biSCcHm6Ck	2017-10-26T08:53:42.526Z	43719b7c983f3578	26	Light	9
2017-10-26T08:53:43.737Z	i8O5cPx58x	2017-10-26T08:53:43.737Z	43719b7c983f3578	27	Fast	9
2017-10-26T09:46:41.031Z	3gnkrtb6Ns	2017-10-26T09:46:41.031Z	14a96735022e788e	9	Relajado	8
2017-10-26T09:47:57.024Z	ttiSo7Wtoe	2017-10-26T09:47:57.024Z	756256df825745c	7	Ágil	11
2017-10-26T09:47:57.224Z	AbLBb2UeHg	2017-10-26T09:47:57.224Z	756256df825745c	8	Normal	11
2017-10-26T09:47:57.444Z	jjnit1GTZx	2017-10-26T09:47:57.444Z	756256df825745c	9	Moderado	11
2017-10-26T09:53:13.204Z	49iFZ13ZNE	2017-10-26T09:53:13.204Z	756256df825745c	10	Ágil	12
2017-10-26T09:53:13.404Z	o7iv5eQEng	2017-10-26T09:53:13.404Z	756256df825745c	11	Normal	12
2017-10-26T09:53:13.624Z	nWA8sfAAIF	2017-10-26T09:53:13.624Z	756256df825745c	12	Moderado	12
2017-10-26T10:10:44.883Z	OCp0Hx3d9j	2017-10-26T10:10:44.883Z	11adcf0f63a00175	13	Concurrido	16
2017-10-26T10:10:45.228Z	8iaA4uZEbY	2017-10-26T10:10:45.228Z	11adcf0f63a00175	14	Veloz	16
2017-10-26T16:29:09.048Z	LJV0a70cWn	2017-10-26T16:29:09.048Z	9a83167b352fa914	1	Eficiente	3
2017-10-26T16:29:09.204Z	oGFbAjfmo8	2017-10-26T16:29:09.204Z	9a83167b352fa914	2	Rápido	3
2017-10-26T16:29:09.372Z	VSYjj6itmD	2017-10-26T16:29:09.372Z	9a83167b352fa914	3	Confiable	3
2017-10-26T19:06:08.396Z	RWxk0HFTnf	2017-10-26T19:06:08.396Z	9a83167b352fa914	4	Moderado	4
2017-10-26T19:56:13.941Z	Ea55eHmfuW	2017-10-26T19:56:13.941Z	11adcf0f63a00175	15	Seguro	17
2017-10-26T19:56:14.097Z	FGYGqEAfqA	2017-10-26T19:56:14.097Z	11adcf0f63a00175	16	Veloz	17
2017-10-27T05:44:55.422Z	NBZI244C38	2017-10-27T05:44:55.422Z	11adcf0f63a00175	17	Seguro	18
2017-10-27T05:44:55.543Z	1NB3NHXYt9	2017-10-27T05:44:55.543Z	11adcf0f63a00175	18	Veloz	18
2017-10-27T07:18:36.920Z	uDr3yDSbba	2017-10-27T07:18:36.920Z	948c5a19e0e77b8f	1	Dangerous	8
2017-10-27T07:31:05.744Z	CGdbcjtm3u	2017-10-27T07:31:05.744Z	948c5a19e0e77b8f	1	Moderated	9
2017-10-27T10:30:26.008Z	NMDQ0SZYDs	2017-10-27T10:30:26.008Z	948c5a19e0e77b8f	1	Relaxed	10
2017-10-27T13:09:47.089Z	rdmANSg2Nc	2017-10-27T13:09:47.089Z	11adcf0f63a00175	19	Seguro	19
2017-10-27T13:09:47.269Z	FSZ6cb4r7q	2017-10-27T13:09:47.269Z	11adcf0f63a00175	20	Veloz	19
2017-10-27T14:20:05.033Z	j19qjf6ieD	2017-10-27T14:20:05.033Z	9a83167b352fa914	5	Eficiente	5
2017-10-27T14:20:05.135Z	rSukXHZ4T6	2017-10-27T14:20:05.135Z	9a83167b352fa914	6	Seguro	5
2017-10-27T14:20:05.265Z	8F6PTpKiC8	2017-10-27T14:20:05.265Z	9a83167b352fa914	7	Veloz	5
2017-10-27T15:19:59.634Z	SBLrffwrO1	2017-10-27T15:19:59.634Z	948c5a19e0e77b8f	1	Relaxed	11
2017-10-27T15:38:19.484Z	xid2uys2MA	2017-10-27T15:38:19.484Z	948c5a19e0e77b8f	1	Moderated	11
2017-10-27T16:35:59.244Z	4OCgmS50tq	2017-10-27T16:35:59.244Z	11adcf0f63a00175	21	Arriesgado	20
2017-10-27T16:35:59.444Z	uBpfl9os0O	2017-10-27T16:35:59.444Z	11adcf0f63a00175	22	Inspirador	20
2017-10-27T18:28:36.307Z	mLUwY2cH5K	2017-10-27T18:28:36.307Z	f0304bf6db9bacfb	1	Veloz	1
2017-10-27T23:50:40.916Z	KULmIoR7fo	2017-10-27T23:50:40.916Z	9a83167b352fa914	8	Adecuado	6
2017-10-27T23:50:41.080Z	9pkfk6U76h	2017-10-27T23:50:41.080Z	9a83167b352fa914	9	Veloz	6
2017-10-28T13:16:03.092Z	N0AHVWVYe4	2017-10-28T13:16:03.092Z	c1c0f391b310b51d	7	Ágil	10
2017-10-28T13:16:03.320Z	fbB44ZekxF	2017-10-28T13:16:03.320Z	c1c0f391b310b51d	8	Rápido	10
2017-10-28T13:16:03.501Z	Auecj6nGBf	2017-10-28T13:16:03.501Z	c1c0f391b310b51d	9	Moderado	10
2017-10-28T14:12:05.970Z	91XWpCpbuv	2017-10-28T14:12:05.970Z	f3d5cdaad6acb5dc	1	Ágil	3
2017-10-28T14:12:06.131Z	QgmYYp37wN	2017-10-28T14:12:06.131Z	f3d5cdaad6acb5dc	2	Seguro	3
2017-10-28T14:12:06.319Z	7cLMELlJKH	2017-10-28T14:12:06.319Z	f3d5cdaad6acb5dc	3	Moderado	3
2017-10-28T18:40:29.871Z	MBI1xH8EVG	2017-10-28T18:40:29.871Z	5ed0527e1fa659da	1	Disconnected	2
2017-10-28T18:40:30.091Z	VBQsSzMycE	2017-10-28T18:40:30.091Z	5ed0527e1fa659da	2	crowded	2
2017-10-28T18:40:30.304Z	JzUuDO7o4D	2017-10-28T18:40:30.304Z	5ed0527e1fa659da	3	Moderated	2
2017-10-29T09:55:14.991Z	XzWOVu8Ayz	2017-10-29T09:55:14.991Z	ec76a95722e80e30	10	Àgil	6
2017-10-29T09:55:15.178Z	9ndLomcG1h	2017-10-29T09:55:15.178Z	ec76a95722e80e30	11	Normal	6
2017-10-29T09:55:15.350Z	grsEUqoAiH	2017-10-29T09:55:15.350Z	ec76a95722e80e30	12	Veloç	6
2017-10-29T10:22:30.663Z	Qf9iCw9vrT	2017-10-29T10:22:30.663Z	c1c0f391b310b51d	10	Aburrido	13
2017-10-29T11:00:55.625Z	J9lIAA5anD	2017-10-29T11:00:55.625Z	11adcf0f63a00175	23	Arriesgado	21
2017-10-29T11:00:56.175Z	VtSLDBbi0s	2017-10-29T11:00:56.175Z	11adcf0f63a00175	24	Inspirador	21
2017-10-29T12:24:51.105Z	hzxkUpgCti	2017-10-29T12:24:51.105Z	f3d5cdaad6acb5dc	4	Suficiente	5
2017-10-29T12:24:51.265Z	tXzRh7Kayh	2017-10-29T12:24:51.265Z	f3d5cdaad6acb5dc	5	Suave	5
2017-10-29T12:24:51.425Z	bq0Ze5PyW4	2017-10-29T12:24:51.425Z	f3d5cdaad6acb5dc	6	Lento	5
2017-10-29T16:17:19.793Z	YpcFC4u13d	2017-10-29T16:17:19.793Z	f3d5cdaad6acb5dc	7	Promedio	6
2017-10-29T16:17:19.925Z	UHwUOENEY3	2017-10-29T16:17:19.925Z	f3d5cdaad6acb5dc	8	Suave	6
2017-10-29T16:17:20.049Z	dTHOww8dLl	2017-10-29T16:17:20.049Z	f3d5cdaad6acb5dc	9	Relajado	6
2017-10-30T06:22:14.472Z	hTHtSr9BH3	2017-10-30T06:22:14.472Z	11adcf0f63a00175	25	Seguro	22
2017-10-30T06:22:14.672Z	RUqfQ2agvG	2017-10-30T06:22:14.672Z	11adcf0f63a00175	26	Veloz	22
2017-10-30T07:24:15.647Z	Yu7XOfxIfe	2017-10-30T07:24:15.647Z	f0304bf6db9bacfb	1	Relajado	2
2017-10-30T07:48:32.307Z	MhWffBtGIO	2017-10-30T07:48:32.307Z	e9d8d40f54eb35e6	8	Confiable	28
2017-10-30T14:13:15.866Z	mZHVQQfiAl	2017-10-30T14:13:15.866Z	11adcf0f63a00175	27	Seguro	24
2017-10-30T14:13:16.034Z	qYNuux65Y3	2017-10-30T14:13:16.034Z	11adcf0f63a00175	28	Veloz	24
