"";"participant";"device";"text";"X_created_at";"X_id";"X_updated_at";"tag_count";"trip_count";"category";"sentiment_polarity";"text_en";"questionnaire1";"application_install";"questionnaire_2";"estimuli";"city";"group";"campaign_day"
"20";2;"14571aeb92ef00fd";"Moderated";"2017-09-13T10:04:54.059Z";"aDqPhGWlk6";"2017-09-13T10:04:54.059Z";15;11;"Speed ";"Neutral ";"Moderated";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";8
"21";2;"14571aeb92ef00fd";"Light";"2017-09-09T18:59:21.717Z";"KHzCs7rORu";"2017-09-09T18:59:21.717Z";9;8;"Comfor";"Positive";"Light";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";4
"22";2;"14571aeb92ef00fd";"Slow-moving";"2017-09-10T13:01:43.452Z";"Aa5880GBXM";"2017-09-10T13:01:43.452Z";13;9;"Speed ";"Negative";"Slow-moving";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";5
"23";2;"14571aeb92ef00fd";"Moderated";"2017-09-18T19:42:19.678Z";"UyD1U25KJi";"2017-09-18T19:42:19.678Z";21;15;"Speed ";"Neutral ";"Moderated";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";13
"24";2;"14571aeb92ef00fd";"Risky";"2017-09-18T19:42:26.839Z";"EuF2c9PnD2";"2017-09-18T19:42:26.839Z";21;15;"Safety";"Negative";"Risky";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";13
"25";2;"14571aeb92ef00fd";"Slow-moving";"2017-09-10T18:59:33.106Z";"KDq3t185jT";"2017-09-10T18:59:33.106Z";14;10;"Speed ";"Negative";"Slow-moving";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";5
"26";2;"14571aeb92ef00fd";"Hazardous";"2017-09-09T13:34:12.201Z";"DAmZAWuAHy";"2017-09-09T13:34:12.201Z";5;7;"Safety";"Negative";"Hazardous";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";4
"27";2;"14571aeb92ef00fd";"Moderated";"2017-09-08T19:29:58.230Z";"sqLBFFkCpk";"2017-09-08T19:29:58.230Z";4;6;"Speed ";"Neutral ";"Moderated";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";3
"28";2;"14571aeb92ef00fd";"Relaxed";"2017-09-16T08:06:37.963Z";"rA5TdnzgZ1";"2017-09-16T08:06:37.963Z";17;13;"Comfor";"Neutral ";"Relaxed";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";11
"29";2;"14571aeb92ef00fd";"Moderated";"2017-09-16T12:55:51.940Z";"GRMsE5Xt8W";"2017-09-16T12:55:51.940Z";19;14;"Speed ";"Neutral ";"Moderated";"2017-09-06T17:15:00.000Z";"2017-09-06T17:30:00.000Z";"2017-09-21T14:45:00:00.000Z";"Y";"Münster";"Competition";11
