participant,questionnaire1,application_install,questionnaire_2,estimuli,device,city
46,2017-11-09T18:15:00.000Z,2017-11-09T18:23:00.000Z,,Y,ea930b0c9eb0edc0,Malta
47,2017-11-09T18:15:00.000Z,2017-11-09T12:15:00.000Z,2017-11-25T17:00:00.000Z,Y,526fd636a4b5e87b,Malta
48,2017-11-09T18:08:00.000Z,2017-11-09T18:30:00.000Z,2017-11-21T14:00:00.000Z,Y,89549cb520eb71df,Malta
49,2017-11-09T18:20:00.000Z,2017-11-09T18:20:00.000Z,2017-11-16T18:20:00.000Z,Y,be492f9e5222543e,Malta
50,2017-11-09T18:30:00.000Z,2017-11-09T18:35:00.000Z,2017-11-15T17:28:00.000Z,N,1fce815e794a07c8,Malta
51,2017-11-09T19:00:00.000Z,2017-11-09T19:10:00.000Z,,Y,3d52ad6645625475,Malta
52,2017-11-10T14:00:00.000Z,2017-11-10T14:25:00.000Z,2017-11-17T12:25:00.000Z,Y,77d5ef0502ed6625,Malta
53,2017-11-10T14:45:00.000Z,2017-11-10T14:50:00.000Z,2017-11-15T18:15:00.000Z,Y,5d6f5f62dda6cfde,Malta
54,2017-11-10T15:15:00.000Z,2017-11-10T15:20:00.000Z,2017-11-15T14:40:00.000Z,Y,f10bdbbea0e46dd0,Malta
55,2017-15-10T13:20:00.000Z,2017-15-10T13:22:00.000Z,,Y,fd1f1dc85e0d1b8b,Malta
56,2017-15-17T15:20:00.000Z,2017-15-17T15:20:00.000Z,,Y,f10bdbbea0e46dd0,Malta
57,2017-17-10T10:00:00.000Z,2017-17-10T10:00:00.000Z,,Y,77d5ef0502ed6625,Malta
58,2017-17-10T17:30:00.000Z,2017-17-10T17:35:00.000Z,,Y,37132b759d08a2c5,Malta
